State,Capital City,Capital City Pop,Largest City Population,Largest City Pop,Population,mi2_total,km2_total,mi2_land,km2_land,mi2_water,km2_water,% water
Alabama,Montgomery,205764,Birmingham,4817786,4874747,52420,135767,50645,131171,1775,4597,3.38
Alaska,Juneau,32468,Anchorage,710231,739795,665384,1723337,570641,1477953,94743,245384,14.23
Arizona,Phoenix,1445632,Phoenix,6392017,7016270,113990,295234,113594,294207,396,1026,0.347
Arkansas,Little Rock,193524,Little Rock,2915918,3004279,53179,137732,52035,134771,1143,2961,2.149
California,Sacramento,466488,Los Angeles,37253956,39536653,163695,423967,155779,403466,7916,20501,4.835
Colorado,Denver,600158,Denver,5029196,5607154,104094,269601,103642,268431,452,1170,0.433
Connecticut,Hartford,124775,Bridgeport,3574097,3588184,5543,14357,4842,12542,701,1816,12.64
Delaware,Dover,36047,Wilmington,897934,961939,2489,6446,1949,5047,540,1399,21.7
Florida,Tallahassee,190894,Jacksonville,20612439,20984400,65758,170312,53625,138887,12133,31424,18.45
Georgia,Atlanta,420003,Atlanta,9687653,10429379,59425,153910,57513,148959,1912,4951,3.216
Hawaii,Honolulu,337256,Honolulu,1360301,1427538,10932,28313,6423,16635,4509,11678,41.24
Idaho,Boise,205671,Boise,1567582,1716943,83569,216443,82643,214045,926,2398,1.107
Illinois,Springfield,116250,Chicago,12830632,12802023,57914,149995,55519,143793,2395,6202,4.134
Indiana,Indianapolis,829718,Indianapolis,6483802,6666818,36420,94326,35826,92789,593,1537,1.629
Iowa,Des Moines,203433,Des Moines,3134693,3145711,56273,145746,55857,144669,416,1077,0.738
Kansas,Topeka,127473,Wichita,2853118,2913123,82278,213100,81759,211754,520,1346,0.631
Kentucky,Frankfort,25527,Louisville,4339367,4454189,40408,104656,39486,102269,921,2387,2.28
Louisiana,Baton Rouge,229553,New Orleans,4533372,4684333,52378,135659,43204,111898,9174,23761,17.51
Maine,Augusta,19136,Portland,1328361,1335907,35380,91633,30843,79883,4537,11750,12.82
Maryland,Annapolis,38394,Baltimore,5773552,6052177,12406,32131,9707,25142,2699,6990,21.75
Massachusetts,Boston,617594,Boston,6547629,6859819,10554,27336,7800,20202,2754,7134,26.09
Michigan,Lansing,114297,Detroit,9883640,9962311,96714,250487,56539,146435,40175,104052,41.53
Minnesota,St. Paul,300851,Minneapolis,5303925,5576606,86936,225163,79627,206232,7309,18930,8.407
Mississippi,Jackson,173514,Jackson,2967297,2984100,48432,125438,46923,121531,1508,3907,3.11
Missouri,Jefferson City,43079,Kansas City,5988927,6113532,69707,180540,68742,178040,965,2501,1.385
Montana,Helena,28190,Billings,989415,1050493,147040,380831,145546,376962,1494,3869,1.015
Nebraska,Lincoln,258379,Omaha,1826341,1920076,77348,200330,76824,198974,524,1356,0.676
Nevada,Carson City,55274,Las Vegas,2700551,2998039,110572,286380,109781,284332,791,2048,0.715
New Hampshire,Concord,42695,Manchester,1316470,1342795,9349,24214,8953,23187,397,1027,4.241
New Jersey,Trenton,84913,Newark,8791894,9005644,8723,22591,7354,19047,1368,3544,15.68
New Mexico,Santa Fe,75764,Albuquerque,2059179,2088070,121590,314917,121298,314161,292,757,0.24
New York,Albany,97856,New York,19378102,19849399,54555,141297,47126,122057,7429,19240,13.61
North Carolina,Raleigh,403892,Charlotte,9535483,10273419,53819,139391,48618,125920,5201,13471,9.664
North Dakota,Bismarck,61272,Fargo,672591,755393,70698,183108,69001,178711,1698,4397,2.401
Ohio,Columbus,822553,Columbus,11536504,11658609,44826,116098,40861,105829,3965,10269,8.845
Oklahoma,Oklahoma City,580000,Oklahoma City,3751351,3930864,69899,181037,68595,177660,1304,3377,1.865
Oregon,Salem,154637,Portland,3831074,4142776,98379,254799,95988,248608,2391,6191,2.429
Pennsylvania,Harrisburg,49528,Philadelphia,12702379,12805537,46054,119280,44743,115883,1312,3397,2.847
Rhode Island,Providence,178042,Providence,1052567,1059639,1545,4001,1034,2678,511,1324,33.09
South Carolina,Columbia,131686,Colombia,4625364,5024369,32020,82933,30061,77857,1960,5076,6.12
South Dakota,Pierre,13646,Sioux Falls,814180,869666,77116,199729,75811,196350,1305,3379,1.691
Tennessee,Nashville,635710,Nashville,6346105,6715984,42144,109153,41235,106798,909,2355,2.15
Texas,Austin,790390,Houston,25145561,28304596,268596,695662,261232,676587,7365,19075,2.741
Utah,Salt Lake City,186440,Salt Lake City,2763885,3101833,84897,219882,82170,212818,2727,7064,3.21
Vermont,Montpelier,7855,Burlington,625741,623657,9616,24906,9217,23871,400,1035,4.155
Virginia,Richmond,204214,Virginia Beach,8001024,8470020,42775,110787,39490,102279,3285,8508,7.679
Washington,Olympia,46478,Seattle,6724540,7405743,71298,184661,66456,172119,4842,12542,6.791
West Virginia,Charleston,51400,Charleston,1852994,1815857,24230,62756,24038,62259,192,497,0.791
Wisconsin,Madison,233209,Milwaukee,5686986,5795483,65496,169635,54158,140268,11339,29367,17.3
Wyoming,Cheyenne,59466,Cheyenne,563626,579315,97813,253335,97093,251470,720,1864,0.735
